Site Name,Latitude,Longitude,"DateBP 
(uncal) ± SD","Average date cal BP 
(INTCAL 09)",Economy,Retained?
La Cueva del Nacimiento,38.1,-1.7,"6780±13 
0",7645,F/ME,TRUE
La Dehesilla,36.7,-5.6,"7127±12 
3",7951,ME,TRUE
La Draga,42.1,2.8,"6700±71 
0",7657,ME,TRUE
La Falguera Rock shelter,43.1,-6.2,6510±70,7414,ME,TRUE
La Fosse Toumise,49.4,3.4,"5870±10 
5",6684,F,
La Hoguette,49.1,0.4,"5560±15 
0",6348,un,
La Pietra,42.6,8.9,"5945±16 
0",6793,ME,
Laang-Spean,12.9,102.9,6240±70,7143,HG,TRUE
Lambourn,51.5,-1.5,"5365±18 
0",6137,F,TRUE
Lamersdorf,50.8,6.5,6410±45,7345,F,
Langweiler II,50.8,6.4,7080±65,7901,F,TRUE
Lanino II,57.2,33,"6440±37 
0",7323,HG,
Latokangas,65.1,26.2,5795±90,6596,HG,
Lautereck/ Felsdach Lauterach,48.3,9.6,6140±45,7045,F,
Le Coq Galleux,49.4,2.8,"6080±11 
0",6962,F,TRUE
Le Guerzit II,48.7,-3.8,"5950±11 
0",6803,F/ME,TRUE
Le Moulin,44.2,5.5,"5840±13 
0",6661,ME,
Le Roc de Dourgne,42.6,2.2,"6170±10 
0",7059,ME,
Le Trou du Diable,47.3,4.8,5105±55,5832,un,
Lebyazhinka 4,53.8,50.9,6680±80,7552,HG,
Lelystad,52.5,5.5,5540±65,6346,HG,
Lengbe,1.7,28.6,850±70,3113,F,TRUE
Lepinski Vir,44.5,22,"7300±12 
4",8136,HG,
Les Coudoumines,42.8,2.6,5135±36,5863,ME,
Les Dependances de Digny,48.2,2.4,5987±41,6825,F,
Les Gouillauds,45.5,-0.6,"5950±12 
0",6803,ME,
Les Grands Traquiers,49,4.3,"6200±14 
0",7081,F,TRUE
Les Longrais,47.5,7.2,"5210±10 
2",5987,ME,
Les Reaudins,48.4,3.2,5800±50,6600,un,
Les Rivaux,45.1,3.9,"6240±11 
0",7137,un,
Leushi 9,59.3,65.8,7590±80,8393,HG,TRUE
Leushi VII,59.6,65.7,6890±70,7735,HG,
Lietzow-Buddelin II,54.5,13.5,"5815±10 
0",6621,HG,TRUE
Liffs Low,53.1,-1.8,5270±70,6060,F,TRUE
Limonesque,44.4,3.5,"5510±20 
0",6307,ME,
Linlithgow,56,-3.6,5865±55,6676,F,TRUE
Lipetskoe Ozero,52.6,39.6,"5310±11 
0",6099,HG,
"Little Hoyle Cave, Pembrokeshire",51.7,-4.7,4847±47,5574,F,
Little Waltham,51.8,0.5,"5120±13 
0",5880,F,TRUE
Littleour,56.6,-3.4,4600±50,5304,F,
Llandegal,53.2,-4.1,"5240±15 
0",6016,F,
Lochhill,57.7,-3.2,"5070±15 
0",5839,F,TRUE
Lojewo,52.7,18.3,"6180±10 
0",7074,F,
Lokalitet Tumba,41,21.8,"6760±11 
0",7625,F,
Lokomotiv,52.3,104.3,6670±70,7543,HG,
Lonelega I,59.2,6.9,"2780±11 
0",2923,un,
"Long Down (Flint Mine), West Sussex",50.9,-0.7,4975±71,5725,F,
Lopé 12,-0.2,11.6,2280±80,2289,F,
Lopé 2,-0.2,11.6,2370±35,2412,F,
Lossoa's hus,70.1,28.9,6315±90,7232,HG,
"Lothagam Hill ZU-4, Kenya",2,36,"8420±17 
0",9399,HG,TRUE
Lough Derravaragh,53.6,-7.4,"5360±11 
0",6134,F,
"Lower Luggy, Powys",52.6,-3.2,4830±45,5549,F,
Lugovoe,54.1,48.3,"6700±10 
0",7573,HG,
Luka Vrublivetska,48.6,26.7,5870±38,6695,F,
"Machrie Moor, Arran",55.5,-5.3,4808±44,5527,F,
"Mad Man's Window, Glenarm, Antrim",55,-5.9,"5095±12 
0",5845,F,
Maddalena di Muccia,43.1,13.1,6580±75,7483,F,
Maes Howe,59,-3.2,5094±60,5829,F,TRUE
Maiaki,46.4,30.3,4412±29,4990,F,TRUE
"Maiden Castle, Dorset",50.7,-1.5,4811±36,5532,F,
Majdanetskoe,48.8,30.5,4890±50,5629,F,
Maksimovka 1,53,51.7,6470±80,7378,HG,
Makubasi NW,1.8,29,971±33,3033,ME,
Maltan,62.2,150.6,"4450±11 
0",5099,HG,TRUE
Maluba,2.8,18.5,"2140±20 
0",2147,ME,TRUE
Marawah 1,24.3,53.3,7036±30,7881,F,TRUE
Marevka,48.4,35.3,7955±55,8820,HG,TRUE
Margineda Cave,42.2,1.6,6740±94,7605,ME,
Masseria Candelaro,41.6,15.9,6200±95,7098,F,
Masseria Giuffreda,41.4,15.6,7125±20,7954,F,
Matarrah,35.2,44.4,"7570±25 
0",8424,F,TRUE
Matveev Kurgan I,47.6,38.9,7239±63,8068,ME,TRUE
Meare Heath Field,51.2,-2.8,5180±70,5944,F,TRUE
Medulin-Vizula,44.8,13.9,"6850±18 
0",7727,F,TRUE
Mehrgarh,29.4,67.6,4530±70,5175,F,TRUE
Meindling,48.8,12.6,6123±31,7026,F,
Menneville,49.4,4,"6030±13 
0",6899,F,
Mennikka (Skogfoss),69.4,29.7,5975±60,6811,HG,
Mersin (Yumuktepe),36.8,34.6,7545±75,8340,F,TRUE
Messum 1,-21.4,14.3,1370±50,2615,F,TRUE
Midgeholme Moss,54.9,-2.6,5270±90,6060,F,TRUE
Midtown of Pitglassie,57.5,-2.5,"4935±10 
5",5690,F,
Mileto,43.8,11.2,6180±80,7081,F,
Millbarrow,51.5,-1.9,"4900±11 
0",5657,F,
Miyagase Kitahara,35.5,139.2,"13047±3 
7",15745,HG,
Mohelnice,49.8,16.9,6345±71,7278,F,
Molebnoe ozero 1,55,46.6,6290±90,7192,HG,
Molino Casarotto VI,45.5,11.6,5960±50,6796,F,
Monamore,55.5,-5.1,"5110±11 
0",5861,F,
Monte Leone,41.4,9.2,5855±95,6664,F,
Monte Maulo,41.6,14.6,6540±80,7440,F,
"Monte Rocca, Rivoli",45.5,11.6,"5670±13 
0",6485,F,
Mossby,55.4,13.6,6480±70,7383,F,TRUE
Mumute,8.7,-1.7,"3350±10 
0",3611,ME,
Munhata,32.6,35.6,"7370±40 
0",8279,F,
"Nabta (E-77-7), Egypt",22.5,30.7,"8960±11 
0",10028,HG,
Nakajima B,36.2,138.1,"12460±3 
10",14695,HG,
Nanzhuangtou,39,115.7,"10509±1 
40",12353,HG,TRUE
Narva Joaoru,59.4,28.2,"5820±20 
0",6659,HG,
Navolok,66.5,40.6,4840±70,5560,HG,TRUE
Ndjolé Pk5,0.2,10.8,2370±55,2455,un,
Nea Nikomedeia,40.6,22.3,"8180±15 
0",9123,F,TRUE
Neckenmarkt,47.6,16.5,6142±42,7049,F,
Nellimöjoen suu S,68.8,28.3,"6000±12 
0",6866,HG,
Nerpich’ya Guba I,68.4,38.4,"4630±10 
0",5328,HG,
Neuburg/Poel XII,54,11.5,5621±29,6390,HG,
"Newton, Islay",55.8,-6.2,4965±60,5712,F,
Niedermerz,50.9,6.3,6800±80,7655,F,
Niemcza,54,14.8,6210±80,7106,F,TRUE
Nikol’skaya pravaya,55.9,36.5,6470±70,7378,HG,TRUE
Nikolskoye Cemetary,48.4,35.2,6202±52,7098,ME,
Nizhnetytkes-ken,53.1,85.5,"5440±10 
5",6207,HG,
Nizhnyaya Dzhilinda I,55.5,115.9,7880±80,8740,HG,TRUE
Noatun Innmarken,69.2,29.3,6185±65,7084,HG,TRUE
Nordli,70.1,28.5,6570±60,7480,HG,TRUE
Norrois,48.7,4.6,"6020±11 
0",6890,F,
"North Mains, Strathallen",56.3,-3.7,4640±65,5370,F,
Northeim-Imbshausen,51.8,10.1,"6192±14 
0",7079,F,
Nottuln,51.9,7.4,5585±45,6366,F,TRUE
Novopetrovka II,49.6,128.4,"12720±1 
30",15070,HG,TRUE
Novorozanovka II,48.1,31.1,"4904±30 
0",5619,F,
Nowodworce I,53.3,23.4,"6000±15 
0",6873,HG,TRUE
Ntereso,9.1,-1.2,"3580±13 
0",3895,ME,
Nymolla III,56,14.5,5930±60,6765,ME,
Oblon,46.3,32.2,4630±40,5384,F,TRUE
Obre I,44.2,18.1,7240±60,8069,F,TRUE
Odai Yamamoto I,41.2,140.5,"13780±1 
70",16899,HG,TRUE
Odmut,45.2,18.8,6970±71,7807,F,
Offham Hill,50.9,0,4925±80,5677,F,
Okanda I,-0.1,11.6,3560±75,3851,un,TRUE
Okopi,51.5,29.6,6330±65,7259,F,TRUE
Ølby Lyng,55.5,12.2,5265±92,6053,HG,
Old Yelshanskay II,52.3,53.1,6820±80,7673,HG,
Oleye-Al Zèpe,50.7,5.2,6307±32,7229,F,
Olszanice,50.1,19.8,6415±41,7348,F,TRUE
Opatowice 33,52.7,18.6,"6190±12 
0",7078,ME,
"Opukha, Bering Sea Coast",61.8,174.1,"2600±10 
0",2651,HG,TRUE
"Orunsumo, Aohan Banner (Chifeng)",43.5,118.7,8040±80,8903,un,TRUE
Osan-ni,38.2,128.6,"7120±70 
0",8172,HG,TRUE
Osimenki 2,53.8,44,"6950±17 
0",7793,HG,TRUE
Osipovska Cemetary,49.9,30.4,7955±55,8818,HG,TRUE
Osovets IV,54.9,29.5,5860±50,6676,HG,TRUE
Ostoros,47.9,20.4,"6180±10 
0",7067,F,
Östra Jansmyra I,60.3,20.1,6084±55,6963,HG,TRUE
Östra Vrå,60.3,20.1,5015±50,5771,HG,
Oszentivan VIII,46.2,20.2,6460±80,7370,F,
Otoumbi 13,-0.1,11.1,2390±65,2485,un,
Oursi,14.7,-0.5,2931±32,3091,F,
Padrão,37.1,-8.9,6849±38,7680,ME,
Pahkakoski,65.4,26,5713±55,6509,HG,
Paiyampali,12.6,78.4,"3435±10 
0",3704,F,TRUE
Panozero 1,63.3,33.3,5795±35,6593,HG,
Parow,54.4,13.1,5136±23,5887,F,
Parta,45.6,21.2,6777±32,7626,F,
Passy,48.1,3.3,6065±55,6929,F,
Peak Camp (Cowley),51.8,-2.2,4840±71,5560,F,
Pechora,48.8,28.7,7288±40,8096,HG,TRUE
Pegrema IX,62.6,34.4,6510±90,7410,HG,TRUE
Pen-y-Wyrlod,52,-3.2,4970±80,5733,F,
Pena d'Água Rock-shelter,39.6,-8.6,6775±60,7626,ME,
Pendimoum,43.8,7.5,"6390±10 
0",7304,ME,
Pengdoushang,29.7,111.6,8300±80,9284,HG,TRUE
Penne Di Pescara,42.5,13.9,"6578±13 
5",7467,F,
Pereval,42.9,133.1,8380±60,9387,HG,TRUE
Petit Mont,47.5,-2.9,5600±70,6391,F,
Petriolo III South,43.2,13.5,"7480±10 
0",8279,F,TRUE
Petrovska balka,45.3,34.2,4670±80,5396,F,TRUE
Pezmog 4,61.8,52.2,6820±70,7665,HG,TRUE
Pfyn,47.6,8.9,4993±20,5714,F,
Piana di Curinga,38.8,16.3,6930±60,7766,F,TRUE
Piestinya/Piestene,57.9,27.5,"4670±15 
0",5352,F,
Pizzo di Bodio,45.8,8.8,6320±80,7241,F,TRUE
Planta,46.2,7.4,6500±80,7406,F,TRUE
Plussulien,48.2,-3,5210±99,5987,F,
"Poggio Vento, Agrigento, Sicily",37.3,13.6,6130±90,7016,F,
Poigen,48.7,15.6,5935±90,6772,F,
Pokrovnik I,43.8,16,"7000±10 
0",7825,F,
Polivaniv Yar,48.1,26.8,5440±70,6218,F,
Pontcharaud,45.8,3.1,7095±50,7914,F,TRUE
Portiragnes,43.3,3.3,"6435±13 
5",7337,F,
Povenchanka XV,63.1,35.3,4270±60,4820,HG,
Prilukskaya,61.3,42.4,6680±70,7548,HG,TRUE
Pristina,42.7,21.2,6280±80,7187,F,TRUE
Protoka,56.5,76.4,"6355±20 
0",7219,HG,
Pugach II,47.9,31.2,6895±50,7730,ME,
Pundo,0,34,7000±40,7842,HG,
Pupicina Cave,45.3,14.2,"6590±24 
0",7460,F,
Putineshti,47.8,28.1,5595±80,6396,F,
Puzi II,51.2,142.7,"8780±13 
5",9869,HG,TRUE
Pyalitsa XVIII,66.2,39.8,4700±70,5436,HG,
Pyasina I,70.9,89.6,4960±50,5700,HG,TRUE
"Raigmore, Inverness",57.5,-3.8,4813±74,5528,F,
Rakushechny Yar,47.6,40.7,7806±72,8614,"HG/M 
E",TRUE
Ralswiek-Augustenof,54.5,13.5,5471±41,6266,HG,
Ras Shamra,35.6,35.8,"7686±11 
2",8508,HG,TRUE
Ravin de la Mouche,14.3,-3.5,9785±70,11194,HG,TRUE
Rectory Farm,52.3,-0.2,4950±36,5676,F,
Redlands Farm,52.3,-0.6,4823±50,5540,F,
Rehmsdorf,51,12.1,5993±79,6845,F,TRUE
Reichstett,48.6,7.8,"5940±14 
0",6787,F,
Renaghju,41.5,8.9,6525±60,7431,ME,
Rendina,41,16,6891±81,7740,F,
Revellata,42.6,8.7,6280±75,7193,un,
Rhum,57,-6.3,"4725±14 
0",5420,ME,TRUE
Ricoh,48.1,7.3,6400±70,7326,F,
Riigiküla IV,59.4,28.1,6023±95,6886,HG,TRUE
Ringkloster,56,10,5555±78,6358,HG,
"Ripa Tetta, Lucera",41.5,15.3,6890±60,7735,un,
Riparo Arma di Nasino,44.1,8.1,5980±85,6833,F,
Riparo del Lauro di Candalla II,43.9,10.3,5250±40,6031,F,
Riparo di Romagnano III,46,11.1,6480±50,7382,F,TRUE
Riparo Gaban,46.1,11.1,6030±45,6873,F,
Rivaltella-Ca'Romensini,44.7,10.6,"6070±11 
0",6949,F,
Riviere Denis I,0.3,9.3,4810±80,5523,un,
"Robin Hood's Ball (Stonehenge 
Environs)",51.2,-1.9,4613±67,5315,F,
Rochas,44.4,4.5,"6090±21 
0",6962,ME,
Rockmarshall Midden,54,-6.3,"5470±11 
0",6245,F,TRUE
Rocquemissou VIIIc1,44.4,2.7,"7151±16 
6",7988,ME,TRUE
Rodingen,51,6.6,6250±75,7151,F,
Rognlien,59.1,9.8,"4600±13 
0",5270,un,TRUE
Rogozhany,47.8,28.4,5700±55,6496,F,
Roinila,64.9,29,"5975±10 
5",6826,HG,TRUE
Roquefort,44,3,"5680±20 
0",6500,F,
Rosdorf Niedersachsen,51.5,9.9,6350±70,7284,F,
Rosenburg,48.6,15.7,6650±60,7526,F,
Rosenhof,54.3,11.1,5960±65,6799,HG,
Rotten Bottom,55.4,-3.4,"5040±10 
0",5784,F,
Roucadour,44.8,1.5,"5940±15 
0",6794,F,TRUE
Route de Rouffach,48.1,7.3,6062±81,6934,F,
"Rowden, Winterbourne Steepleton",50.7,-2.6,"5250±14 
0",6034,F,TRUE
Rudnaya Pristan,44.4,135.8,7561±43,8372,HG,TRUE
Rudnya Serteiskaya,56.3,31.5,6240±40,7157,HG,
Rufacher Huben,48,7.3,5832±74,6642,F,
"Rugland, Jaeren",58.6,5.7,"3550±11 
5",3857,ME,TRUE
Ruhnu II,57.8,23.3,5400±83,6165,un,TRUE
Rusavierto,62.7,25.2,5985±80,6837,HG,TRUE
Ruseshti,46.9,28.8,"5565±10 
0",6366,F,TRUE
Sabatinovka II,48.2,30.2,6089±41,6967,F,
Sablieres de Libreville,0.5,9.4,5710±80,6508,HG,TRUE
Sadovniki II,47.2,142.1,"6612±13 
4",7501,HG,TRUE
"Safiet Bou Rhenan, Algeria",34.4,3.5,"6970±17 
0",7819,F,
Sagan-Zaba,53.1,106.2,7630±45,8435,HG,
"Saggai, Sudan",15.9,32.6,"10060±1 
50",11670,HG,TRUE
Saint Just,47.8,-2,5770±80,6576,un,TRUE
Sakhtysh 2a,56.8,40.4,7356±30,8163,HG,TRUE
Salasun,-1.5,36.8,"7255±22 
5",8085,un,TRUE
Saliagos,37.1,25.1,6172±74,7066,F,TRUE
Salpetermosen,55.9,12.3,"6020±10 
0",6889,HG,TRUE
Sammardenchia,45.7,13.8,6570±74,7475,F,TRUE
Samsonovskoe,47.7,20.2,"7460±20 
0",8277,HG,TRUE
"San Marco, Gubbio",43.1,12.4,6430±80,7350,F,
Sang-I-Chakmak,36.4,55.1,"7476±10 
0",8280,F,TRUE
Sanganakallu,15.2,77,"3540±10 
0",3832,F,
Sangnodae Do,33.7,128.6,"6430±18 
0",7311,HG,
Santa Tecchia,41.5,15.7,6520±70,7429,F,
Sanyasula Gavi,15.5,78.2,3515±35,3784,F,
Sarn-y-Bryn-Calod,52.6,-3.2,4960±70,5714,F,
Sarnate,57.1,21.4,4648±93,5356,HG,TRUE
Sartinya I,64.2,65.5,6535±57,7444,HG,TRUE
"Sarurab, Sudan",15.9,32.5,9355±78,10570,HG,
Savignano sul Panaro,44.5,11,"5930±13 
0",6770,F,
Savran’,48.1,30,6985±60,7821,ME,
Scamuso,41.1,16.9,"7290±11 
0",8116,ME,
Schamli,48.6,7.8,"6618±17 
2",7499,F,TRUE
Schenkon,47.2,8.1,"4980±12 
0",5742,F,
Schlamersdorf,53.9,10.3,6385±60,7322,HG,TRUE
Schwanfeld,43.9,10.1,7900±80,8763,F,TRUE
Schwindratzeim,48.8,7.6,"6230±30 
0",7100,F,
Seamer Moor,54.3,-0.5,5030±90,5779,F,TRUE
Seedorf,54,10.5,5935±65,6771,HG,
Seiko Sanso B,36.8,138.2,"12340±5 
0",14387,HG,
Selevac,44.5,21.9,6192±51,7090,F,
Semenovka,49.8,33.5,7058±44,7890,ME,TRUE
Sente Saillancourt,49.1,2,"5220±11 
0",6004,F,
"Sepulchral Cave, Derbyshire",53.3,-1.2,4750±64,5472,F,
Sergeevka,50.8,127.3,7940±45,8809,HG,TRUE
Serteya X,56.3,31.5,"7342±16 
4",8172,HG,TRUE
Servia-Varytimides,40.2,22,6905±87,7755,F,
Sesklo,39.4,22.8,7525±16,8361,F,TRUE
Seuil des Chèvres,45.7,5.4,"6320±26 
0",7186,F,
Sha'ar Hagolan,32.7,35.6,7495±50,8304,F,TRUE
Shajdurikhinskoe 5,57.3,60.6,5910±90,6746,HG,
Shcherbet 2,55,49.5,6620±90,7512,HG,TRUE
Shelter Jean Cros,43.1,2.5,"6584±11 
9",7473,F,TRUE
Sheltozero 11,61.4,35.4,6480±70,7387,HG,
Shippea Hill,52.4,0.4,4910±85,5661,F,
Shirokaya Balka,46.6,32.2,4250±60,4783,F,
Shkarovka,49.7,30.2,"5015±10 
5",5771,F,
"Shomu-Tepe, Azerbaijan",39.9,47.5,7510±70,8311,F,TRUE
"Shulaver I, Marneuli",41.5,44.8,"6625±21 
0",7511,F,
Shum Laka,5.9,10.1,7140±50,7959,HG,TRUE
Shurton Hill,50.9,-0.6,4750±50,5481,F,
Sidari,39.8,19.7,"7568±10 
0",8370,F,TRUE
Sikazegashira,31.4,130.2,"11820±3 
5",13664,HG,TRUE
Siktyakh I,70,125,"5220±17 
0",5997,HG,TRUE
Silino,60.6,29.6,5830±80,6634,HG,
Silvola,60.3,24.9,5950±50,6783,HG,
Sion-Petit Chasseur,46.2,7.4,5110±57,5843,F,
Siphiso Shelter,-26.2,32,"1970±39 
0",2000,HG,TRUE
"Siror, GpJb 16",0.2,34.3,7735±35,8509,HG,TRUE
"Site 12, Dundrum Nature Reserve, Co Down",54.3,-5.8,4666±97,5369,F,
Site Launey,23.3,5.8,"8475±10 
0",9452,un,TRUE
Skara Brae,59.1,-2.7,4406±55,5031,ME,
Skarin Samograd,43.5,16.1,6745±37,7608,F,
Skrivarhelleren,61.2,7.7,3610±50,3924,F,TRUE
Slavonski Brod–Galovo 2,45.2,18,"6830±11 
0",7690,F,
Smällan II,59.2,17.8,5090±51,5825,un,
Sofievka,49.6,31.3,4300±35,4874,F,
Sokol’tsy II,48.2,30.2,7435±41,8265,ME,TRUE
Sølager,55.9,11.9,"5520±11 
0",6315,HG,
Sopka 2/3,55.6,76.8,6285±90,7187,HG,
Soroki II,48.2,28.3,"6830±15 
0",7704,ME,
Soroki-Ozero,48.2,28.3,4866±74,5599,ME,
Soulac-sur-Mer (La Balise),45.5,-1.1,"5910±15 
0",6755,un,
Soumont-Saint-Quentin (La Brèche au Diable),48.7,-0.2,"5140±14 
0",5917,un,
Source de Reselauze,43.5,3.3,"6450±10 
0",7366,ME,
Spong Hill,52.7,-2.4,4990±80,5743,F,
St. Anna III,40.5,17.6,6780±90,7641,F,
Stanovoe IV,56.9,39,"6650±16 
0",7533,un,
Staraya Elshanka 2,52.4,53.1,6820±80,7673,HG,
Starodubskoye III,47.4,142.8,6465±85,7372,HG,
Strachow 2,50.9,16.8,6146±34,7056,F,TRUE
"Street House Farm, Loftus",54.6,-0.8,4975±28,5699,F,
Strette,42.7,9.2,"6460±24 
6",7327,ME,
"Stretto, Partanna",38.1,13.4,"6630±12 
0",7513,F,TRUE
Stril’chaia skelia,48,35.2,5365±70,6142,ME,
Strögen,48.7,15.1,6365±99,7285,F,
Strzelce,53.3,18.1,6260±60,7160,F,
Studenoye I,50.2,108.5,"11000±9 
0",12881,HG,TRUE
Sturovo,47.8,18.7,6215±71,7113,F,TRUE
Stuttgart-Bad-Cannstatt,48.8,9.2,6353±45,7291,F,
Suberde,37.4,31.9,7957±58,8817,F,
Sukhaya Vodla II,62.4,37.1,4810±60,5522,HG,
Sulgu 2,62,33.2,6085±30,6954,HG,
Sulka,56.8,27,4850±60,5574,un,TRUE
Sumpan'ya VI,59.5,67.7,9920±80,11418,HG,TRUE
Sumpanya 4,59.8,64.9,6850±60,7689,HG,
Sventoji IV,56,21.1,"5110±11 
0",5862,ME,TRUE
Sweet Track,51.2,-1.2,5134±27,5875,F,
Swifterbant 11,52.6,5.6,6308±32,7227,HG,
Szamossalyi,51.5,14.1,"6136±10 
0",7023,F,
Szarvas No.23,46.9,20.5,6620±60,7513,F,
T. Narsipur,12.2,76.9,"3755±11 
0",4136,F,TRUE
Tabaqat al-Bûma,32.5,35.7,7350±16,8172,F,
Tabuyaobao,43.5,118.7,"5679±10 
4",6485,un,
Tagalagal,17.8,8.8,"9370±12 
8",10634,HG,TRUE
Tainiaro,65.7,25.1,5892±59,6718,HG,
Tall-i-Bakun B,30,52.8,6264±70,7171,F,TRUE
Tamsagbulag 1,47.2,117.3,"5590±12 
0",6392,HG,TRUE
"Tankardstown Site 4/2, Co Limerick",52.4,-7.4,4865±57,5602,F,
"Tankardstown, Limerick",52.4,-8.6,5029±22,5805,F,TRUE
Tarnabod,47.7,20.2,"6280±10 
0",7185,F,
Tekkalakota,15.5,76.9,"3625±10 
0",3947,F,
Tell Arpachiyah,36.3,43.2,8064±78,8944,F,TRUE
Tell Azmak,42.5,25.8,"7303±15 
0",8129,HG,TRUE
Tell Halaf,36.8,40,7570±35,8381,F,
Tell Karanovo,42.5,25.9,6690±71,7557,F,
Tell Kashkashok,36.6,40.7,"7880±11 
0",8737,F,
Tell Nebi,34.5,36.5,8010±35,8879,F,TRUE
Tell Sabi Abyad,36.5,39.1,8040±35,8914,F,TRUE
Tell Seker al-Aheimar,37.9,42.2,"7900±16 
0",8769,F,TRUE
Tell Shimshara,36.3,45,"7940±15 
0",8814,F,TRUE
Tell-es-Siwwan,34.4,43.8,7456±73,8268,F,TRUE
Telul-eth-Thalathat,36.4,42.8,7714±67,8497,F,
Tenteksor,47,48.1,6640±80,7520,HG,
Tenteksor 3,47,48.1,7005±90,7830,HG,
Tenteksor I,47,48.1,7235±45,8063,HG,
Tepe Gawra,36.6,43.3,7002±82,7831,F,
Tepe Gaz Tavileh (Yahya),28.3,56.6,"6650±18 
0",7534,F,TRUE
Tepe Guran,33.6,47.1,"7760±15 
0",8619,F,
Tepe Sabz,32.5,47.4,"7454±15 
8",8258,F,
Tepe Sarab,34.1,47.3,7956±98,8815,F,TRUE
"Terkuemkyun, Eastern Chukotka",65.2,173.8,4580±40,5250,HG,TRUE
Terres de Prepoux II,48.3,3.1,"6730±11 
0",7596,F,TRUE
Thalathat II,36.6,42.5,7620±50,8429,F,
The Ord North,58,-4.4,4614±57,5330,un,
"The Trundle, West Sussex",51.8,0.5,4860±10,5590,F,
Theopetra Cave,39.7,21.7,8046±27,8941,F,TRUE
Thielle-Mottaz,47,7,"5280±11 
0",6067,F,
"Thirlings, Northumberland",55.6,-2.1,"5230±15 
0",6011,F,
Ti-n-Akof,15,-0.2,3479±45,3751,HG,
Ti-n-Hanakaten (Algeria),23.9,10.4,"8100±13 
0",9012,HG,
Ti-n-Torha Two Caves (Libya),25,10.3,8840±60,9928,HG,
"Til'kin, Turkmenistan",38.1,57.8,"6590±11 
0",7480,F,
"Timidouin, Algeria",24.3,5.6,"8100±13 
0",9016,HG,TRUE
Timokovo,48,29,5700±70,6504,F,
Tinj I,44,15.5,"6895±13 
6",7751,F,
"Tintane pécheur, Mauritania",20.9,-15.3,"6193±10 
9",7090,F,TRUE
Tiszavasvari-Keresztfal,48,21.4,6226±69,7127,F,
"Togolok-Depe, Turkmenistan",38.1,58,"7320±10 
0",8139,F,TRUE
Tokarevo I,60.5,28.8,"4790±21 
0",5477,HG,
Tokumaru Nakata,36.3,139.2,"13700±5 
60",16546,HG,TRUE
Tongsamdong,35.1,129.1,5900±99,6727,HG,TRUE
Torihama,35.6,135.9,"11830±5 
5",13668,HG,TRUE
"Townhead, Rothesay, Bute",55.8,-5.1,"4070±10 
0",4586,F,
Toyretepe,41,45,"6085±12 
0",6965,F,
Tsaga I,67.7,35.1,"5760±16 
0",6588,HG,TRUE
Tuba Ajuz I,12.1,13.2,3150±38,3378,ME,
Tudozero 5,61.2,36.4,6600±25,7494,HG,TRUE
Tudozero V,61.2,36.4,6250±50,7165,HG,
"Tully, Aldergrove Airport",54.5,-7.8,4960±85,5718,F,
"Tutkaul, Tadjikistan",38,69.2,"7100±14 
0",7933,un,TRUE
Twann,47.1,7.2,5019±34,5783,F,
Tyniec Maly,51,16.9,5223±60,6011,un,
Tyttinge,59.2,17.8,5815±75,6617,HG,TRUE
Uan Afuda (Libya),24.6,10.6,"8935±10 
0",10016,HG,TRUE
Uan Tabu,25,11,"8880±10 
0",9954,HG,
Ulan-Khada,53.2,107,7650±80,8456,HG,TRUE
Ulm-Eggingen,48.4,9.9,"6500±10 
0",7403,F,TRUE
Unang,44.1,5.2,"5950±13 
0",6803,ME,
Uniondale Rock Shelter,-33.3,26.5,2152±55,2163,HG,TRUE
Universitetskaya III,51.7,39.2,"5080±12 
5",5831,ME,
Unoki-Minami,36.5,138,"11630±5 
0",13480,HG,
Unterpullendorf,47.5,16.5,6004±81,6852,F,
Urutlekrai (Site 47),61.2,7.7,2438±22,2497,HG,
Usatovo,46.5,32.7,4330±60,4931,F,
Ust'-Drozdovka,68.3,38.5,"5510±10 
0",6305,HG,TRUE
Ust'-Karenga,54.5,116.5,"12180±6 
0",14040,HG,TRUE
Ust'-Kazachka,55.7,95.1,"6660±19 
0",7545,HG,TRUE
Ust'-Khaita,52.9,103.2,"7245±15 
0",8078,HG,
Ust'-Khemchik,51.7,91.8,"6500±11 
0",7409,HG,TRUE
Ust'-Kiakhta,50.5,106.2,"12595±5 
0",14841,HG,TRUE
Ust'-Kova,58.6,100.6,6195±70,7088,HG,TRUE
Ust'-Menza I,50.3,108.5,8715±60,9698,HG,
Ust’-Rybezhnoye,60.4,32.6,"6380±22 
0",7246,HG,TRUE
Ust'-Tashelka,53.9,48.1,"7810±19 
0",8692,HG,TRUE
Utajärvi (Pyhänniska),64.8,26.4,"6140±10 
5",7027,HG,
Utnur,16,77.6,3933±69,4368,un,TRUE
Utyuzh 1,55.1,46.6,6330±90,7249,HG,TRUE
V'yun,60.6,32.6,"5980±10 
0",6838,HG,
Vailly-sur-Aisne,49.5,3.5,"5470±30 
0",6284,ME,
Vallon-des-Vaux,43.8,6.8,4985±35,5721,F,
Varasti,44.2,27,5360±70,6137,F,
Varfolomeevskaya 2B,50.7,47.7,7070±80,7886,HG,TRUE
Varga 2,57.4,60.1,7106±35,7932,HG,TRUE
Vargstensslätten II,60.3,20.1,6055±46,6911,HG,
Varvarovka 15,48.8,36.7,4990±60,5745,F,TRUE
